pff_PLAYID,pff_QUARTER,pff_DOWN,pff_CLOCK,pff_DISTANCE,pff_DLTECHNIQUES
3053251,,,,,
3053260,,,,,
3053265,,,,,
3053274,,,,,
3053280,,,,,
3053383,,,,,
3053389,,,,,
3053405,,,,,
3053517,,,,,
3053537,,,,,
3053543,,,,,
3053549,,,,,
3053556,,,,,
3053569,,,,,
3053611,,,,,
3053618,,,,,
3053629,,,,,
3053784,,,,,
3053797,,,,,
3053805,,,,,
3053817,,,,,
3053875,,,,,
3053885,,,,,
3053901,,,,,
3053981,,,,,
3054013,,,,,
3054026,,,,,
3054036,,,,,
3054048,,,,,
3054066,,,,,
3054071,,,,,
3054087,,,,,
3054334,,,,,
3054341,,,,,
3054352,,,,,
3054363,,,,,
3054378,,,,,
3054391,,,,,
3054524,,,,,
3054724,,,,,
3054734,,,,,
3054745,,,,,
3054770,,,,,
3054782,,,,,
3054792,,,,,
3055021,,,,,
3055033,,,,,
3055176,,,,,
3055183,,,,,
3055200,,,,,
3055212,,,,,
3055223,,,,,
3055241,,,,,
3055402,,,,,
3055416,,,,,
3055433,,,,,
3055442,,,,,
3055806,,,,,
3055829,,,,,
3055837,,,,,
3055845,,,,,
3055852,,,,,
3055864,,,,,
3055875,,,,,
3055884,,,,,
3055895,,,,,
3055901,,,,,
3055911,,,,,
3055922,,,,,
3055935,,,,,
3055968,,,,,
3055978,,,,,
3055992,,,,,
3056007,,,,,
3056024,,,,,
3056135,,,,,
3056144,,,,,
3056159,,,,,
3056262,,,,,
3056281,,,,,
3056302,,,,,
3056540,,,,,
3056569,,,,,
3056582,,,,,
3056597,,,,,
3183906,,,,,
3183918,,,,,
3183925,,,,,
3184098,,,,,
3184141,,,,,
3185047,,,,,
3185079,,,,,
3185150,,,,,
3185211,,,,,
3185247,,,,,
3185276,,,,,
3185367,,,,,
3185399,,,,,
3185814,,,,,
3185837,,,,,
3185881,,,,,
3185930,,,,,
3185960,,,,,
3185990,,,,,
3186304,,,,,
3186351,,,,,
3186402,,,,,
3186454,,,,,
3186496,,,,,
3186558,,,,,
3186751,,,,,
3186774,,,,,
3186812,,,,,
3186839,,,,,
3186875,,,,,
3186915,,,,,
3186954,,,,,
3186999,,,,,
3187029,,,,,
3187063,,,,,
3187087,,,,,
3187114,,,,,
3187664,,,,,
3187701,,,,,
3187736,,,,,
3187813,,,,,
3187840,,,,,
3187864,,,,,
3187883,,,,,
3187929,,,,,
3187992,,,,,
3188027,,,,,
3188474,,,,,
3188511,,,,,
3188545,,,,,
3188594,,,,,
3188639,,,,,
3188692,,,,,
3189133,,,,,
3189185,,,,,
3189225,,,,,
3189484,,,,,
3189520,,,,,
3189549,,,,,
3189584,,,,,
3189614,,,,,
3190108,,,,,
3190172,,,,,
3190203,,,,,
3190244,,,,,
3190280,,,,,
3190304,,,,,
3190326,,,,,
3190358,,,,,
3190401,,,,,
3190423,,,,,
3190443,,,,,
